Quantity,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Cooling Load (DUE 22.5°N),2.9307107,55.6835033,826.4604174,1271.928444,4627.592195,10922.75878,17502.2043,13838.81593,5785.222922,849.906103,29.307107,0
Heating Load,50141.52937,31853.8946,15011.10021,6119.323942,178.7733527,0,0,0,29.307107,2851.581511,24544.70211,39294.96907
Heat Gain,6842.213043,11592.83647,21574.30959,27922.81511,31908.81612,32143.68327,36334.21858,31849.02962,22919.21273,16623.60654,8449.590633,6831.662484
Heat Loss,20709.10518,17095.89057,15197.8744,12510.61784,10280.40561,7467.275021,6474.291622,7981.731977,10342.2143,13493.72474,16352.66234,20241.59821
,,,,,,,,,,,,
Cooling Load (DUE 67.5°N),0,8.7921321,439.606605,1116.600777,5193.21936,11963.16108,18507.43807,14284.28395,5398.369109,416.1609194,2.9307107,0
Heating Load,52494.89006,33665.07381,14609.59284,5160.981543,152.3969564,0,0,0,26.3763963,2910.195725,26449.66407,41633.6762
Heat Gain,4803.376223,9746.547347,20668.74929,28464.38114,33567.53976,34741.17217,38899.03005,32823.3737,21776.14764,14978.33486,6514.823351,4720.759488
Heat Loss,20702.86276,16990.12122,15094.30308,12515.27767,10293.79896,7481.606196,6487.098827,7974.493122,10318.65138,13378.16682,16243.96228,20237.72967
,,,,,,,,,,,,
Cooling Load (DUE 112.5°N),0,2.9307107,369.2695482,1022.818034,5102.367329,11925.06184,18539.67589,14345.82888,5489.221141,439.606605,5.8614214,0
Heating Load,52266.29462,33691.45021,14753.19766,5207.872914,155.3276671,0,0,0,26.3763963,2781.244454,25675.95644,41595.57697
Heat Gain,4975.848548,9710.411684,20439.62633,28173.94771,33252.6642,34517.73478,38832.18054,32856.34419,21949.82155,15216.0155,7219.336896,4642.099213
Heat Loss,20706.43823,16981.56354,15101.16095,12522.86821,10292.7439,7476.125767,6477.251639,7970.741812,10320.93734,13408.32383,16284.37678,20200.36311
,,,,,,,,,,,,
Cooling Load (DUE 157.5°N),2.9307107,41.0299498,770.7769141,1178.145701,4501.571635,10916.89736,17487.55075,13941.3908,5814.530029,858.6982351,46.8913712,0
Heating Load,50109.29155,31704.42835,14961.27812,5955.204142,178.7733527,2.9307107,0,0,29.307107,2801.759429,24324.89881,39274.45409
Heat Gain,6848.455457,11657.19488,21532.13666,27760.36581,31422.46468,31951.04766,36198.55598,31941.08324,22824.02325,16727.82261,8664.382421,6808.187492
Heat Loss,20705.85209,17071.44844,15169.29997,12515.89312,10263.40749,7480.639062,6498.645828,7985.424673,10326.47638,13478.98327,16364.09211,20240.04493
,,,,,,,,,,,,
Cooling Load (ABU DHABI),18586.56726,21845.51756,29216.25497,35757.60125,49570.04078,56058.63427,64088.78159,64973.85622,58696.2739,44936.58716,32832.75197,21986.19167
Heating Load,0,0,0,0,0,0,0,0,0,0,0,0
Heat Gain,38993.83854,42732.37034,45623.04753,49532.32253,58841.0217,58095.62474,60123.00248,60922.82274,55505.43332,52211.92994,43696.04663,38818.25966
Heat Loss,8418.554407,6426.28658,5010.724005,2521.114573,909.4288373,188.2688554,26.43501051,21.68725918,140.2051999,1574.495016,3673.909626,6894.643457
,,,,,,,,,,,,
Cooling Load (CAPE TOWN),29113.68009,26678.2595,23967.3521,14439.61162,8859.538446,3458.238626,3815.785331,6849.070906,10280.93314,16921.92358,21698.98202,27844.68236
Heating Load,0,0,0,0,11.7228428,161.1890885,211.0111704,38.0992391,5.8614214,0,0,0
Heat Gain,54610.59942,48737.36726,46162.53276,35210.29103,29857.28932,23285.49295,23591.6643,30656.40621,35961.1098,45004.34519,49740.90121,54057.28124
Heat Loss,5428.115823,4957.678141,6677.565716,8744.42013,11124.30375,12093.92939,12566.33065,12029.36583,10025.28724,9076.909259,6413.069075,5740.676119
,,,,,,,,,,,,
Cooling Load (Reykjavik),0,0,73.2677675,32.2378177,1491.731746,3516.85284,4091.272137,3086.038367,653.5484861,11.7228428,0,0
Heating Load,101502.2344,85702.773,63851.39402,42630.11784,6485.662779,410.299498,190.4961955,117.228428,13827.09308,42788.37622,71547.44032,99834.66
Heat Gain,443.8268284,4673.13544,16885.7,21951.75582,35273.65299,31530.66652,30143.47322,25477.75248,20665.96512,11736.8809,2878.954349,12.22106362
Heat Loss,29375.9787,24952.27605,21045.78522,15242.56774,10572.45093,8483.147271,8131.520601,10272.22892,13644.36327,18985.29045,25472.74096,30198.13097
